,Unnamed: 0,Coverage-10,Coverage-20,Coverage-5,MAE,Number of Items,Number of Users,RMSE,Spearman,Time to Predict,Time to Train,Number of Ratings
0,0,,,,0.7308366929138794,20,500,0.9453646312307188,-0.01354129013910825,4.601478576660156e-05,0.08824396133422853,4311
1,1,,,,0.7428156274182205,35,1000,0.9702552117466192,-0.014655816368658934,0.00014519691467285156,0.1356070041656494,13932
2,2,,,,0.7402215160712765,50,2000,0.956669244839838,-0.002961282068434844,0.00043487548828125,0.18500900268554688,37100
3,3,,,,0.7224415564534966,70,5000,0.9315433657940752,-0.01297019414697055,0.0022420883178710933,0.4434778690338135,112959
4,4,,,,0.7369182441953309,85,7500,0.9442031646352834,0.0088056860310512,0.004868030548095703,0.9370930194854736,187770
5,5,0.88,0.99,0.77,0.7393556241249336,100,10000,0.9490530808266676,-0.0037032803856325296,0.009279012680053713,1.1300017833709717,271422
