,train_time,test_time,n_ratings,rmse,mae,spearman,n_users,n_books
0,0.172103881836,1.79728198051,4311,0.281009559556,0.193412463232,0.884225177667,487,20
1,0.816978931427,8.79720616341,13932,0.334145263486,0.235232037964,0.88783029528,985,35
2,3.6851348877,36.2927520275,37100,0.351365494642,0.252049438201,0.893076880836,1981,50
3,25.3964140415,234.624435902,112959,0.354610001579,0.25637315859,0.896341806641,4980,70
4,61.6959090233,522.990553856,187770,0.3675909906,0.267343714172,0.899261148835,7479,85
5,114.316742897,946.772746801,271422,0.370457736861,0.269613523716,0.89895698105,9980,100
